Block,ExperimentName,ExperimentNumber,AEZ,Treatment,topChoice,yieldAre,profit,cobSize,germinationRate
1,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,14.72,3388.481949,163.2653061,66
1,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,30.132,7362.934217,310,80
1,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,27.216,6612.242268,232.7586207,79
1,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,38.016,9451.4723,242.6470588,81
1,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,1,30.592,7483.592524,280.7017544,74
2,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,1,29.16,7115.12,428.5714286,90
2,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,1,32.256,7920.96,242.4242424,86
2,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,0,32.256,7937.88,200,89
2,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,0,22.944,5503.5,206.8965517,88
2,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,10.12,2209.82,171.875,69
3,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,25.2,6066.397121,227.2727273,79
3,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,38.016,9432.570318,226.0273973,85
3,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,1,30.592,7474.255933,225.3521127,80
3,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,18.4,4328.691062,169.4915254,76
3,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,27.216,6580.779076,237.2881356,78
4,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,0,11.52,2545.59581,116.2790698,75
4,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,0,7.648,1515.307123,137.9310345,65
4,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,11.04,2450.821398,176.4705882,62
4,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,1,33.048,8132.380848,261.5384615,70
4,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,1,34.272,8423.233993,269.8412698,72
5,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,1,28.68,6982.3,245.9016393,76
5,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,23.92,5776.38,236.3636364,81
5,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,23.328,5560.28,218.1818182,80
5,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,20.16,4738.12,196.0784314,84
5,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,34.56,8524.2,267.8571429,69
6,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,1,20.24,4813.82,189.6551724,70
6,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,1,21.384,5036.52,157.1428571,81
6,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,1,22.176,5258.94,152.7777778,82
6,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,25.344,6113.7,164.1791045,80
6,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,0,19.12,4516.14,185.1851852,60
7,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,1,47.628,11856.28,288.2352941,80
7,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,33.264,8130.14,226.0273973,82
7,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,49.536,12408.06,241.5730337,84
7,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,1,40.152,9932.14,287.6712329,79
7,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,29.44,7186.37,238.8059701,72
8,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,16.128,3685.261604,163.2653061,91
8,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,27.648,6737.610174,196.7213115,90
8,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,0,21.2232,5033.228961,236.1702128,92
8,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,16.56,3846.05191,155.1724138,85
8,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,15.552,3552.0183,210.5263158,88
9,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,39.168,9808.8,202.3809524,81
9,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,1,23.9,5784.38,219.2982456,78
9,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,0,12.88,2942.6,162.7906977,70
9,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,9.72,2078.76,125,63
9,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,1,22.176,5295.64,215.6862745,64
10,Maize variety (low-mid altitude varieties),11,Eastern Ridges,SC529,0,24.856,5992.434025,265.3061224,79
10,Maize variety (low-mid altitude varieties),11,Eastern Ridges,ZM607,1,25.76,6271.095301,241.3793103,80
10,Maize variety (low-mid altitude varieties),11,Eastern Ridges,WH505,0,24.3,5845.654469,219.2982456,83
10,Maize variety (low-mid altitude varieties),11,Eastern Ridges,RHM104,0,24.192,5831.97159,255.3191489,81
10,Maize variety (low-mid altitude varieties),11,Eastern Ridges,PAN4M21,1,36.864,9157.345459,238.8059701,85
