"season","phase","trial_number","location","Trial 1","Trial 2","Trial 1 Outcome","Trial 2 Outcome","p.value","Percent Yield Change","Trial 1 Profit","Trial 2 Profit","Percent Profit Change 1 vs. 2"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","DK 8031","1.99 (0.59, 3.39)","3.14 (1.62, 4.65)","0.617","-36.6%","19,793.06 (1104.5, 38481.61)","35,334.71 (15114.84, 55554.59)","-44%"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","DKC 80-33","1.99 (0.59, 3.39)","3.33 (1.57, 5.1)","0.439","-40.2%","19,793.06 (1104.5, 38481.61)","37,280.9 (13695.43, 60866.36)","-46.9%"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","SC Sungura (ultra early)","1.99 (0.59, 3.39)","2.19 (1.2, 3.19)","1","-9.1%","19,793.06 (1104.5, 38481.61)","22,274.68 (8947.72, 35601.64)","-11.1%"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","SC Punda Milia 529","1.99 (0.59, 3.39)","1.58 (0.58, 2.59)","0.996","25.9%","19,793.06 (1104.5, 38481.61)","13,915.25 (499.92, 27330.58)","42.2%"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","PAN 3M-01","1.99 (0.59, 3.39)","1.81 (0.18, 3.43)","1","9.9%","19,793.06 (1104.5, 38481.61)","17,082.31 (-4595.43, 38760.05)","15.9%"
"SR2017",1,1,"EKO","Maize SR Variety Control 1 (SC Duma)","PAN 4M-21","1.99 (0.59, 3.39)","3.61 (2.13, 5.09)","0.231","-44.9%","19,793.06 (1104.5, 38481.61)","41,639.73 (21897.5, 61381.96)","-52.5%"
"SR2017",1,1,"EKO","DK 8031","DKC 80-33","3.14 (1.62, 4.65)","3.33 (1.57, 5.1)","1","-5.7%","35,334.71 (15114.84, 55554.59)","37,280.9 (13695.43, 60866.36)","-5.2%"
"SR2017",1,1,"EKO","DK 8031","SC Sungura (ultra early)","3.14 (1.62, 4.65)","2.19 (1.2, 3.19)","0.798","43.4%","35,334.71 (15114.84, 55554.59)","22,274.68 (8947.72, 35601.64)","58.6%"
"SR2017",1,1,"EKO","DK 8031","SC Punda Milia 529","3.14 (1.62, 4.65)","1.58 (0.58, 2.59)","0.275","98.7%","35,334.71 (15114.84, 55554.59)","13,915.25 (499.92, 27330.58)","153.9%"
"SR2017",1,1,"EKO","DK 8031","PAN 3M-01","3.14 (1.62, 4.65)","1.81 (0.18, 3.43)","0.451","73.5%","35,334.71 (15114.84, 55554.59)","17,082.31 (-4595.43, 38760.05)","106.8%"
"SR2017",1,1,"EKO","DK 8031","PAN 4M-21","3.14 (1.62, 4.65)","3.61 (2.13, 5.09)","0.992","-13%","35,334.71 (15114.84, 55554.59)","41,639.73 (21897.5, 61381.96)","-15.1%"
"SR2017",1,1,"EKO","DKC 80-33","SC Sungura (ultra early)","3.33 (1.57, 5.1)","2.19 (1.2, 3.19)","0.63","52.1%","37,280.9 (13695.43, 60866.36)","22,274.68 (8947.72, 35601.64)","67.4%"
