"station","name","cost","revenue","profit"
"EKO","30G19",6725.103,22253,15527.897
"EKO","Chelelang + DAP",8450.461,11531.1,3080.639
"EKO","Chillies",14061.624,13005,-1056.624
"EKO","Chillies + Fertilizer",17478.717,19122.1666666667,1643.44966666667
"EKO","DK 8031",6575.103,41909.8166666667,35334.7136666667
"EKO","DKC 80-33",7225.103,44506,37280.897
"EKO","Haraka WH101",6575.103,28928.9,22353.797
"EKO","Iron Rich Beans 1",4226.461,7321.33333333333,3094.87233333333
"EKO","KAT B1 + DAP",7650.461,12537.7833333333,4887.32233333333
"EKO","KAT X56 + DAP",10050.461,14093.5666666667,4043.10566666667
"EKO","Kilele F1 Hybrid + Disease Treatment + Staking",8364.281,73585.6032828283,65221.3222828283
"EKO","Kilele F1 Hybrid + Disease Treatment + Staking + irrigation",8364.281,71296.7013888889,62932.4203888889
"EKO","KK15 + DAP",7650.461,3358.66166666667,-4291.79933333333
"EKO","KK8 + DAP",8162.461,15100.25,6937.789
"EKO","Maize Core Program Control",6725.103,39313.6333333333,32588.5303333333
"EKO","Maize Monocrop Control - no weeding at all!",6725.103,42651.5833333333,35926.4803333333
"EKO","Maize Monocrop Program Control - 2 weeds",6725.103,48956.6,42231.497
"EKO","Maize SR Variety Control (SC Duma) 2",6725.103,17060.6333333333,10335.5303333333
"EKO","Maize SR Variety Control 1 (SC Duma)",6725.103,26518.1583333333,19793.0553333333
"EKO","Maize with 2 weeks late weeding",6725.103,49327.4833333333,42602.3803333333
"EKO","Maize with herbicide application",6725.103,37830.1,31104.997
"EKO","Malaika 125",6575.103,16318.8666666667,9743.76366666667
"EKO","P2859W",7325.103,19768.0816666667,12442.9786666667
"EKO","PAN 3M-01",7025.103,24107.4166666667,17082.3136666667
"EKO","PAN 4M-21",6575.103,48214.8333333333,41639.7303333333
"EKO","PMSO- Planted with seed tip to the left of the row",6725.103,33750.3833333333,27025.2803333333
"EKO","PMSO- Planted with seed tip to the right of the row",6725.103,39313.6333333333,32588.5303333333
"EKO","Riogrande Local + Disease Treatment + Staking",8451.281,62555.9109848485,54104.6299848485
"EKO","SC Punda Milia 529",7225.103,21140.35,13915.247
"EKO","SC Sungura (ultra early)",7025.103,29299.7833333333,22274.6803333333
"EKO","Soybean - no pesticide",4289.621,35095.4375,30805.8165
"EKO","Soybean - pesticide",4289.621,36143.0625,31853.4415
"EKO","Tylka F1 + Disease Treatment + Irrigation",29748.041,97482.0353535354,67733.9943535354
"EKO","Tylka F1 + Disease Treatment + Staking",29748.041,133748.908080808,104000.867080808
"GK","Chelelang + DAP",8450.3672236,5985.19,-2465.1772236
"GK","Iron Rich Beans 1",4226.3672236,11531.1,7304.7327764
"GK","KAT B1 + DAP",7650.3672236,7193.21,-457.1572236
"GK","KAT X56 + DAP",10050.3672236,14368.1166666667,4317.74944306667
"GK","Kilele F1 Hybrid + Disease Treatment + Staking",8364.0154,NA,NA
"GK","Kilele F1 Hybrid + Disease Treatment + Staking + Irrigation",8364.0154,NA,NA
"GK","KK15 + DAP",7650.3672236,4758.86666666667,-2891.50055693333
"GK","KK8 Beans + DAP",8162.3672236,10249.8666666667,2087.49944306667
"GK","Riogrande Local + Disease Treatment + Staking",8451.0154,NA,NA
"GK","SC Duma",6725.189184,66313.94,59588.750816
"GK","SC Twiga 81",6575.189184,52146.1966666667,45571.0074826667
"GK","SC Twiga 83",6575.189184,55910.6625,49335.473316
"GK","Tylka F1 + Disease Treatment + Staking",29747.7754,NA,NA
"GK","Tylka F1 + Disease Treatment + Staking + Irrigation",29747.7754,NA,NA
"KKMT","30G19",6725.103,10436.657,3711.554
"KKMT","Chelelang + DAP",8450.461,3706.425,-4744.036
"KKMT","DK 8031",6575.103,12313.3266666667,5738.22366666667
"KKMT","DKC 80-33",7225.103,11432.47875,4207.37575
"KKMT","Haraka WH101",6575.103,6926.24625,351.14325
"KKMT","Iron Rich Beans 1",4226.461,1189.71666666667,-3036.74433333333
"KKMT","KAT B1 + DAP",7650.461,3065.80833333333,-4584.65266666667
"KKMT","KAT X56 + DAP",10050.461,7001.025,-3049.436
"KKMT","KK15 + DAP",7650.461,3797.94166666667,-3852.51933333333
